StartTime,ErrCode,Repetition
2017/03/01 07:05:24,E620032L,1
2017/03/01 07:42:25,E620002L,1
2017/03/01 08:38:27,E630227L,2
2017/03/01 08:40:18,E630224L,1
2017/03/01 08:44:23,E630261L,1
2017/03/01 08:58:07,E630227L,1
2017/03/01 09:00:26,E630264L,1
2017/03/01 09:00:46,E620002L,1
2017/03/01 09:54:53,E620002L,1
2017/03/01 12:14:47,E620002L,1
2017/03/01 12:35:16,E630235L,1
2017/03/01 14:06:16,E620002L,1
2017/03/01 14:10:39,E620002L,1
2017/03/01 14:38:25,E601043L,1
2017/03/01 14:38:25,E620029L,1
2017/03/01 14:44:28,E620002L,1
2017/03/01 16:27:29,E620002L,1
2017/03/01 16:59:33,E602017L,1
2017/03/01 16:59:51,E620002L,2
2017/03/01 17:12:44,E620002L,1
2017/03/01 18:37:39,E630235L,2
2017/03/01 18:49:35,E630235L,1
2017/03/01 21:09:54,E620002L,1
2017/03/01 21:19:32,E620002L,1
2017/03/01 21:26:36,E620002L,1
2017/03/01 21:30:01,E620002L,1
2017/03/01 21:32:45,E620002L,1
2017/03/02 01:08:34,E620002L,1
2017/03/02 07:15:29,E620002L,1
2017/03/02 08:06:39,E620002L,2
2017/03/02 08:15:09,E620002L,1
2017/03/02 09:52:34,E620002L,1
2017/03/02 11:15:51,E620002L,1
2017/03/02 11:57:03,E620002L,1
2017/03/02 12:39:03,E620002L,1
2017/03/02 12:59:19,E620002L,1
2017/03/02 15:44:01,E630267L,1
2017/03/02 19:34:40,E620029L,1
2017/03/02 19:34:56,E601043L,1
2017/03/02 19:35:42,E620002L,1
2017/03/02 19:38:06,E620002L,3
2017/03/02 20:59:29,E602017L,1
2017/03/02 22:23:38,E620002L,1
2017/03/02 23:29:40,E620002L,1
2017/03/03 00:01:12,E620002L,1
2017/03/03 01:27:37,E620002L,1
2017/03/03 02:15:57,E630235L,1
2017/03/03 05:50:59,E620002L,1
2017/03/03 06:38:27,E620002L,3
2017/03/03 06:51:34,E620003L,1
2017/03/03 06:51:34,E620029L,1
2017/03/03 06:54:27,E601043L,1
2017/03/03 10:00:06,E620002L,1
2017/03/03 10:42:54,E620002L,1
2017/03/03 11:23:51,E620002L,1
2017/03/03 15:13:34,E630224L,1
2017/03/03 18:33:50,E630267L,1
2017/03/03 18:34:13,E620002L,1
2017/03/03 19:03:53,E630267L,1
2017/03/03 19:14:12,E620002L,2
2017/03/04 01:26:10,E620002L,2
2017/03/04 01:50:56,E602017L,1
2017/03/04 01:51:17,E620002L,2
2017/03/04 02:10:04,E620002L,1
2017/03/04 02:16:25,E602017L,2
2017/03/04 02:16:47,E620002L,2
2017/03/04 02:22:08,E620029L,1
2017/03/04 02:22:12,E601043L,1
2017/03/04 02:24:43,E602017L,2
2017/03/04 02:32:13,E620002L,1
2017/03/04 02:46:25,E602017L,1
2017/03/04 02:56:29,E620002L,1
2017/03/04 03:11:50,E620002L,1
2017/03/04 03:19:11,E620002L,2
2017/03/04 05:01:47,E620002L,1
2017/03/04 05:18:54,E620003L,1
