Situation, Logtime, Duration
shutdown,2017/06/16 17:36:44,263
shutdown,2017/06/19 08:21:49,198
shutdown,2017/06/19 22:54:20,748
shutdown,2017/06/19 23:48:30,682
shutdown,2017/06/20 00:02:38,306
shutdown,2017/06/26 08:08:19,1268
shutdown,2017/07/01 19:16:46,184
shutdown,2017/07/10 08:14:36,1320
shutdown,2017/08/01 08:55:24,728
shutdown,2017/08/03 14:07:38,194
shutdown,2017/08/03 18:54:06,251
shutdown,2017/08/03 21:42:16,180
shutdown,2017/08/03 23:29:18,180
shutdown,2017/08/04 23:51:43,209
shutdown,2017/08/06 01:30:28,234
shutdown,2017/08/07 08:15:54,708
shutdown,2017/08/08 10:21:02,209
